,CTUID,YEAR,DWELLING TYPE,BEDROOM TYPE,RENTAL UNIT AMOUNT,POPULATION AMOUNT,AVERAGE RENT
0,1.01,2018,1,0,15,25,705
1,1.01,2018,1,1,815,1089,777
2,1.01,2018,1,2,554,1286,1271
3,1.01,2018,1,3,10,56,1172
4,1.01,2018,2,1,35,167,832
5,1.01,2018,2,2,135,294,919
6,1.01,2018,2,3,635,2482,1231
7,1.01,2018,3,3,10,25,1417
8,1.01,2018,4,2,10,15,1196
9,1.01,2018,4,3,53,177,1436
10,1.04,2018,1,1,10,15,1085
11,1.04,2018,1,2,35,86,1216
12,1.04,2018,1,3,10,30,1048
13,1.04,2018,2,2,10,10,1282
14,1.04,2018,2,3,135,415,1449
15,1.04,2018,3,3,15,56,1078
16,1.04,2018,4,2,10,15,1008
17,1.04,2018,4,3,8,35,1387
18,1.05,2018,2,0,10,10,865
19,1.05,2018,2,1,10,35,982
20,1.05,2018,2,2,110,299,1120
21,1.05,2018,2,3,265,998,1563
22,1.05,2018,3,3,20,66,1163
23,1.05,2018,4,3,9,81,1667
24,1.06,2018,1,1,34,51,1055
25,1.06,2018,1,2,205,390,1260
26,1.06,2018,2,1,10,10,894
27,1.06,2018,2,2,195,486,1134
28,1.06,2018,2,3,245,861,1397
29,1.07,2018,1,0,10,11,920
30,1.07,2018,1,1,10,15,1131
31,1.07,2018,1,2,105,218,1306
32,1.07,2018,2,1,15,20,674
33,1.07,2018,2,2,150,339,680
34,1.07,2018,2,3,125,537,1180
35,1.07,2018,4,3,7,101,1670
36,1.08,2018,1,2,20,15,1189
37,1.08,2018,1,3,10,20,1439
38,1.08,2018,2,1,15,20,970
39,1.08,2018,2,2,60,142,996
40,1.08,2018,2,3,175,684,1533
41,1.08,2018,4,3,33,187,1596
42,2.01,2018,1,1,10,10,1048
43,2.01,2018,2,3,10,35,846
44,2.01,2018,4,3,50,132,1614
45,2.02,2018,1,1,10,10,1111
46,2.02,2018,1,2,10,15,1226
47,2.02,2018,2,3,220,699,1412
48,2.02,2018,4,2,10,10,1112
49,2.04,2018,1,2,25,30,2011
50,2.04,2018,2,3,20,86,1200
51,2.05,2018,1,1,325,436,893
52,2.05,2018,1,2,130,344,1097
53,2.05,2018,1,3,30,101,690
54,2.05,2018,2,1,25,111,615
55,2.05,2018,2,2,115,299,1081
56,2.05,2018,2,3,437,1707,1358
57,2.05,2018,3,3,10,30,1034
58,2.05,2018,4,3,10,56,1926
59,2.06,2018,2,1,10,17,991
60,2.06,2018,2,2,20,20,1111
61,2.06,2018,2,3,89,284,1529
62,2.06,2018,3,3,10,51,1133
63,2.06,2018,4,3,10,51,1773
64,3.0,2018,1,0,25,25,884
65,3.0,2018,1,1,360,461,1012
66,3.0,2018,1,2,300,714,1250
67,3.0,2018,1,3,85,284,1312
68,3.0,2018,2,2,10,20,1466
69,3.0,2018,2,3,20,61,1524
70,3.0,2018,3,3,45,127,1727
71,3.0,2018,4,3,53,187,1499
72,4.0,2018,1,0,0,0,684
73,4.0,2018,1,1,405,476,690
74,4.0,2018,1,2,341,709,1156
75,4.0,2018,1,3,80,198,1210
76,4.0,2018,2,2,10,10,1397
77,4.0,2018,2,3,15,61,1295
78,4.0,2018,3,3,90,304,1442
79,4.0,2018,4,2,10,30,1056
80,4.0,2018,4,3,30,71,1456
81,5.0,2018,1,0,10,10,769
82,5.0,2018,1,1,510,684,1007
83,5.0,2018,1,2,420,957,1127
84,5.0,2018,1,3,20,46,1047
85,5.0,2018,2,3,40,198,1774
86,5.0,2018,3,3,70,198,1224
87,5.0,2018,4,1,9,20,902
88,5.0,2018,4,2,15,25,1432
89,5.0,2018,4,3,93,233,1682
90,6.0,2018,1,1,25,25,1287
91,6.0,2018,1,2,10,10,1601
92,6.0,2018,1,3,15,46,1786
93,6.0,2018,4,2,20,46,1311
94,6.0,2018,4,3,75,198,2026
95,7.01,2018,1,1,290,380,1075
96,7.01,2018,1,2,165,324,1223
97,7.01,2018,1,3,30,46,1610
98,7.01,2018,3,3,10,20,1437
99,7.01,2018,4,3,19,81,1839
100,7.02,2018,1,0,10,30,768
101,7.02,2018,1,1,345,547,996
102,7.02,2018,1,2,655,1804,1121
103,7.02,2018,1,3,45,228,981
104,7.02,2018,2,2,120,355,1204
105,7.02,2018,2,3,280,1287,1453
106,7.03,2018,1,1,40,56,1005
107,7.03,2018,1,2,65,111,1198
108,7.03,2018,2,1,10,41,966
109,7.03,2018,2,3,50,213,1565
110,7.03,2018,3,3,15,46,1153
111,7.03,2018,4,3,69,198,1631
112,8.0,2018,1,1,300,380,1086
113,8.0,2018,1,2,350,679,1285
114,8.0,2018,1,3,135,324,1489
115,8.0,2018,2,2,10,30,1228
116,8.0,2018,2,3,60,233,1273
117,8.0,2018,3,3,20,46,852
118,8.0,2018,4,1,10,15,780
119,8.0,2018,4,2,25,56,1261
120,8.0,2018,4,3,84,253,1449
121,9.0,2018,1,0,10,10,775
122,9.0,2018,1,1,135,172,1048
123,9.0,2018,1,2,199,385,1106
124,9.0,2018,3,3,10,30,1370
125,9.0,2018,4,2,10,25,1262
126,9.0,2018,4,3,44,167,1471
127,10.0,2018,1,0,20,20,600
128,10.0,2018,1,1,635,841,720
129,10.0,2018,1,2,235,532,1080
130,10.0,2018,1,3,10,61,1419
131,10.0,2018,2,2,25,56,685
132,10.0,2018,2,3,175,831,827
133,10.0,2018,3,1,10,10,823
134,10.0,2018,3,3,25,81,1320
135,10.0,2018,4,1,10,10,708
136,10.0,2018,4,3,24,81,1332
137,11.01,2018,1,0,10,10,834
138,11.01,2018,1,1,649,811,973
