ctuid,refYear,dwellingtype,bedroomtype, RentalUnitAmount , PopulationAmount , AverageRent , ConstructedBefore1960 , Constructed1960to1979 , Constructed1980to1999 , ConstructedAfter2000 
0001.01,2018,1,0, 15 , 25 , 705 , -   , 9 , 6 , -   
0001.01,2018,1,1, 815 ," 1,089 ", 777 , 154 , 427 , 189 , 45 
0001.01,2018,1,2, 554 ," 1,286 "," 1,271 ", 35 , 252 , 192 , 76 
0001.01,2018,1,3, 10 , 56 ," 1,172 ", -   , 5 , -   , 5 
0001.01,2018,2,1, 35 , 167 , 832 , -   , 12 , 23 , -   
0001.01,2018,2,2, 135 , 294 , 919 , 25 , 50 , 50 , 10 
0001.01,2018,2,3, 635 ," 2,482 "," 1,231 ", 55 , 315 , 200 , 65 
0001.01,2018,3,3, 10 , 25 ," 1,417 ", 4 , 4 , 2 , 1 
0001.01,2018,4,2, 10 , 15 ," 1,196 ", 10 , -   , -   , -   
0001.01,2018,4,3, 53 , 177 ," 1,436 ", 8 , 31 , 8 , 8 
0001.04,2018,1,1, 10 , 15 ," 1,085 ", -   , -   , 10 , -   
0001.04,2018,1,2, 35 , 86 ," 1,216 ", -   , 35 , -   , -   
0001.04,2018,1,3, 10 , 30 ," 1,048 ", -   , 10 , -   , -   
0001.04,2018,2,2, 10 , 10 ," 1,282 ", -   , -   , 10 , -   
0001.04,2018,2,3, 135 , 415 ," 1,449 ", 10 , 82 , 43 , -   
0001.04,2018,3,3, 15 , 56 ," 1,078 ", 15 , -   , -   , -   
0001.04,2018,4,2, 10 , 15 ," 1,008 ", -   , 10 , -   , -   
0001.04,2018,4,3, 8 , 35 ," 1,387 ", -   , 10 , -   , -   
0001.05,2018,2,0, 10 , 10 , 865 , -   , 10 , -   , -   
0001.05,2018,2,1, 10 , 35 , 982 , -   , -   , -   , 10 
0001.05,2018,2,2, 110 , 299 ," 1,120 ", -   , 42 , 58 , 10 
0001.05,2018,2,3, 265 , 998 ," 1,563 ", -   , 46 , 163 , 56 
0001.05,2018,3,3, 20 , 66 ," 1,163 ", 7 , 7 , 3 , 2 
0001.05,2018,4,3, 9 , 81 ," 1,667 ", 3 , 3 , 2 , 1 
0001.06,2018,1,1, 34 , 51 ," 1,055 ", -   , 9 , 26 , -   
0001.06,2018,1,2, 205 , 390 ," 1,260 ", 10 , 54 , 132 , 10 
0001.06,2018,2,1, 10 , 10 , 894 , -   , 10 , -   , -   
0001.06,2018,2,2, 195 , 486 ," 1,134 ", 10 , 62 , 123 , -   
0001.06,2018,2,3, 245 , 861 ," 1,397 ", 10 , 40 , 175 , 20 
0001.07,2018,1,0, 10 , 11 , 920 , -   , -   , 10 , -   
0001.07,2018,1,1, 10 , 15 ," 1,131 ", 2 , 5 , 2 , 1 
0001.07,2018,1,2, 105 , 218 ," 1,306 ", -   , 10 , 76 , 19 
0001.07,2018,2,1, 15 , 20 , 674 , -   , -   , 15 , -   
0001.07,2018,2,2, 150 , 339 , 680 , -   , 57 , 93 , -   
0001.07,2018,2,3, 125 , 537 ," 1,180 ", -   , 19 , 106 , -   
0001.07,2018,4,3, 7 , 101 ," 1,670 ", -   , -   , 5 , 5 
0001.08,2018,1,2, 20 , 15 ," 1,189 ", -   , -   , -   , 20 
0001.08,2018,1,3, 10 , 20 ," 1,439 ", -   , -   , -   , 10 
0001.08,2018,2,1, 15 , 20 , 970 , -   , 8 , 8 , -   
0001.08,2018,2,2, 60 , 142 , 996 , -   , 17 , 34 , 9 
0001.08,2018,2,3, 175 , 684 ," 1,533 ", 10 , 25 , 140 , -   
0001.08,2018,4,3, 33 , 187 ," 1,596 ", -   , -   , 34 , -   
0002.01,2018,1,1, 10 , 10 ," 1,048 ", 2 , 5 , 2 , 1 
0002.01,2018,2,3, 10 , 35 , 846 , -   , 10 , -   , -   
0002.01,2018,4,3, 50 , 132 ," 1,614 ", 10 , 30 , 10 , -   
0002.02,2018,1,1, 10 , 10 ," 1,111 ", 2 , 5 , 2 , 1 
0002.02,2018,1,2, 10 , 15 ," 1,226 ", -   , -   , -   , 10 
0002.02,2018,2,3, 220 , 699 ," 1,412 ", 14 , 120 , 77 , 10 
0002.02,2018,4,2, 10 , 10 ," 1,112 ", -   , -   , 10 , -   
0002.04,2018,1,2, 25 , 30 ," 2,011 ", -   , -   , 10 , 15 
0002.04,2018,2,3, 20 , 86 ," 1,200 ", -   , -   , 13 , 7 
0002.05,2018,1,1, 325 , 436 , 893 , 26 , 181 , 119 , -   
0002.05,2018,1,2, 130 , 344 ," 1,097 ", 15 , 70 , 35 , 10 
0002.05,2018,1,3, 30 , 101 , 690 , -   , 13 , 17 , -   
0002.05,2018,2,1, 25 , 111 , 615 , -   , -   , 12 , 12 
0002.05,2018,2,2, 115 , 299 ," 1,081 ", 10 , 58 , 37 , 10 
0002.05,2018,2,3, 437 ," 1,707 "," 1,358 ", 25 , 228 , 177 , 10 
0002.05,2018,3,3, 10 , 30 ," 1,034 ", 4 , 4 , 2 , 1 
0002.05,2018,4,3, 10 , 56 ," 1,926 ", -   , -   , 5 , 5 
0002.06,2018,2,1, 10 , 17 , 991 , 3 , 3 , 3 , 1 
0002.06,2018,2,2, 20 , 20 ," 1,111 ", -   , 12 , 8 , -   
0002.06,2018,2,3, 89 , 284 ," 1,529 ", 8 , 49 , 25 , 8 
